Treatment,Tray,Family,FamilyMember,FamilyPhenology,ID,DOYFirstBolt,StemDiameter1,StemDiameter2,StemDiameter1Notes,DOYPlantWilt,FloweringDOY,HeightFirstFlower,FlowerDiameter1,FlowerDiameter2,FlowerDiameter3,AverageFlowerDiameter,Leaf_Images_Number,Stomata_Circled,Stomata_Counted,Stomata_Number_Image1,Stomata_Number_Image2,Stomata_Number_Image3,Stomata_Number_Average,Stomata_Density,Stomata_Length_Image1_1,Stomata_Length_Image1_2,Stomata_Length_Image1_3,Stomata_Length_Image2_1,Stomata_Length_Image2_2,Stomata_Length_Image2_3,Stomata_Length_Image3_1,Stomata_Length_Image3_2,Stomata_Length_Image3_3,Stomata_Length_Average,Fruit_Production,Fruit_Mass
Control,E,2,5,EarlyIntermediate,159,179,1.15,2.85,NA,NA,187,133.7,12.26,13.24,14.37,13.89,3,yes,yes,13,10,12,11.66666667,132.8405621,1.521,1.617,1.72,1.722,1.798,1.734,1.609,1.925,1.823,17.18777778,1,0.6695
Control,E,2,6,EarlyIntermediate,164,179,0.84,2.65,NA,NA,187,158.51,11.79,10.7,10.1,13.29,3,yes,yes,16,14,13,14.33333333,163.2041192,1.761,1.739,1.536,1.696,1.644,1.646,1.998,1.882,1.692,17.32666667,1,0.3484
Control,F,1,1,Early,56,179,1.51,2.94,NA,NA,188,116.29,13.5,12.72,13.72,10.86333333,3,yes,yes,8,12,9,9.666666667,110.0678943,1.879,1.567,1.619,1.761,1.73,1.221,1.715,1.895,1.814,16.89,1,0.115
Control,F,1,2,Early,63,179,1.1,3.97,measured directly below cotelydon,NA,189,114.9,12.37,12.41,10.33,11.70333333,3,yes,yes,12,7,7,8.666666667,98.68156042,2.042,1.72,1.628,1.959,1.789,1.764,1.625,1.161,2.047,17.48333333,1,0.2431
Control,F,1,3,Early,69,179,1.26,3.68,NA,NA,187,180.33,10.42,11.43,12.17,11.34,3,yes,yes,15,11,10,12,136.6360067,1.59,1.468,1.482,1.555,1.575,1.83,1.533,1.516,1.467,15.57333333,1,0.402
Control,F,1,4,Early,74,179,1.07,2.61,NA,NA,186,130.76,13.37,11.05,11.4,11.94,3,yes,yes,13,10,9,10.66666667,121.4542282,1.573,1.542,1.543,1.571,1.707,1.453,1.576,1.53,1.391,15.42888889,1,0.7367
Control,F,1,5,Early,81,179,1.09,2.48,measured directly below cotelydon,NA,188,91.54,14.77,12.39,13.72,13.62666667,3,yes,yes,10,14,11,11.66666667,132.8405621,1.743,1.6,1.548,1.629,1.56,1.283,1.494,1.454,1.379,15.21111111,1,0.4719
Control,F,1,6,Early,87,179,1,3.35,NA,NA,188,138.95,10.9,10.24,9.35,10.16333333,3,yes,yes,20,16,15,17,193.5676762,1.711,1.547,1.589,1.926,1.634,1.667,1.528,1.561,1.619,16.42444444,1,0.4852
Control,F,2,1,EarlyIntermediate,138,179,1.29,2.33,measured directly below the cotelydon,NA,189,100.4,13.22,13.98,12.11,13.10333333,3,yes,yes,14,11,13,12.66666667,144.226896,1.416,1.272,1.192,1.555,1.672,1.563,1.342,1.495,1.326,14.25888889,1,0.1743
Control,F,2,2,EarlyIntermediate,144,179,1.23,2.36,NA,NA,190,96.44,11.59,11.22,11.72,11.51,3,yes,yes,11,9,10,10,113.8633389,1.953,1.874,1.48,1.914,1.663,1.425,1.89,1.49,1.759,17.16444444,0,NA
Control,F,2,3,EarlyIntermediate,151,179,1.31,3.52,measured directly below the cotelydon,NA,191,38.12,10.46,9.95,10.45,10.28666667,3,yes,yes,21,13,18,17.33333333,197.3631208,1.37,1.388,1.266,1.376,1.145,1.265,1.249,1.315,1.282,12.95111111,1,0.7825
Control,F,2,4,EarlyIntermediate,156,179,1.37,3.34,NA,NA,188,124.82,13.65,12.88,14.12,13.55,3,yes,yes,14,13,11,12.66666667,144.226896,1.534,1.601,1.613,1.759,1.427,1.621,1.665,1.752,1.635,16.23,1,0.4295
Control,F,2,5,EarlyIntermediate,161,179,1.27,4.43,NA,NA,188,113.79,10.98,11.54,11.59,11.37,3,yes,yes,8,10,8,8.666666667,98.68156042,1.65,1.918,1.365,1.542,1.529,1.728,1.736,1.799,1.657,16.58222222,1,1.149
Control,F,2,6,EarlyIntermediate,165,179,0.76,3.67,NA,NA,190,123.94,11.05,11.78,11.21,11.34666667,3,yes,yes,16,20,17,17.66666667,201.1585655,1.742,1.457,1.015,1.624,1.715,1.675,1.478,1.077,1.748,15.03444444,1,1.0361
Control,G,1,2,LateIntermediate,43,180,1.26,3.54,NA,NA,186,137.25,14.05,12.44,12.58,13.02333333,3,yes,yes,10,9,7,8.666666667,98.68156042,1.854,1.856,1.832,1.601,1.527,1.685,1.601,1.353,1.318,16.25222222,1,0.0844
Control,G,1,5,LateIntermediate,53,180,1.2,2.48,NA,NA,187,82.07,12.54,13.1,14.17,13.27,3,yes,yes,17,19,15,17,193.5676762,1.561,1.507,1.489,1.394,1.439,1.405,1.621,1.391,1.457,14.73777778,1,0.0559
Control,G,1,4,LateIntermediate,79,180,1.19,4.54,NA,NA,193,189.05,12.76,12.52,12.63,12.63666667,3,yes,yes,10,9,11,10,113.8633389,1.686,1.664,1.926,1.755,1.92,1.732,1.579,2.022,1.726,17.78888889,1,0.3671
Control,G,1,3,LateIntermediate,137,180,0.76,3.02,NA,NA,193,52.36,9.49,8.63,12.61,10.24333333,3,yes,yes,15,22,9,15.33333333,174.590453,1.394,1.25,1.44,1.348,1.527,1.359,1.299,1.351,1.379,13.71888889,0,NA
Control,G,1,6,LateIntermediate,160,180,1.29,2.49,NA,NA,188,110.33,12.37,12.66,12.53,12.52,3,yes,yes,16,17,12,15,170.7950084,1.837,1.794,1.405,1.485,1.587,1.617,1.097,1.566,1.627,15.57222222,1,0.1177
Control,G,1,1,LateIntermediate,176,179,1.11,3.74,NA,NA,187,104.63,11.94,9.37,12.39,11.23333333,3,yes,yes,9,9,9,9,102.4770051,1.816,1.65,1.663,1.703,1.609,1.427,1.558,1.702,1.522,16.27777778,0,NA
Control,G,2,4,Late,50,183,1.01,4.11,NA,NA,193,171.36,7.99,8.66,11.19,9.28,3,yes,yes,11,10,9,10,113.8633389,1.556,1.575,1.471,1.589,1.54,1.621,1.752,1.544,1.48,15.69777778,0,NA
Control,G,2,2,Late,58,182,1.35,5.68,NA,NA,191,142.92,11.28,9.45,11.92,10.88333333,3,yes,yes,13,21,15,16.33333333,185.9767869,1.436,1.525,1.329,1.499,1.488,1.862,1.626,1.395,1.183,14.82555556,0,NA
Control,G,2,3,Late,92,182,0.85,3.58,measured directly below the cotelydon,NA,197,111.44,9.49,7.37,8.46,8.44,3,yes,yes,17,15,14,15.33333333,174.590453,1.232,1.45,1.432,1.269,1.198,1.332,1.178,0.987,1.083,12.40111111,1,0.6324
Control,G,2,5,Late,168,183,0.81,4.47,NA,NA,191,102.91,13.68,12.97,12.88,13.17666667,3,yes,yes,12,15,12,13,148.0223406,1.529,1.617,1.449,1.331,1.477,1.547,1.519,1.506,1.411,14.87333333,0,NA
Control,G,2,6,Late,172,186,0.35,1.23,NA,NA,197,62.46,8.16,NA,NA,8.16,3,yes,yes,17,19,15,17,193.5676762,1.619,1.425,1.129,1.61,1.636,1.343,1.625,1.704,1.913,15.56,0,NA
Control,G,2,1,Late,173,180,0.85,1.78,measured directly below the cotelydon,NA,197,46.95,6.81,6.21,5.5,6.173333333,3,yes,yes,24,20,21,21.66666667,246.703901,1.447,1.246,1.464,1.165,1.45,1.271,1.124,0.942,1.345,12.72666667,0,NA
Control,H,1,2,LateIntermediate,45,180,1.42,3.28,NA,NA,185,103.24,12.73,12.11,12.87,12.57,3,yes,yes,10,6,6,7.333333333,83.49978189,2.01,1.815,1.945,1.934,2.326,1.852,1.86,2.254,2.131,20.14111111,1,0.8951
Control,H,1,3,LateIntermediate,72,180,1.08,2.73,NA,NA,188,91.78,14.17,12.37,12.44,12.99333333,3,yes,yes,9,11,11,10.33333333,117.6587836,1.528,1.577,1.471,1.657,1.443,1.598,1.395,1.514,1.394,15.08555556,1,0.4278
Control,H,1,4,LateIntermediate,85,180,1.12,3.41,NA,NA,192,172.02,11.21,10.87,11.84,11.30666667,3,yes,yes,8,7,4,6.333333333,72.113448,2.271,2.104,2.201,1.881,2.021,2.1,2.124,2.321,2.572,21.77222222,0,NA
Control,H,1,5,LateIntermediate,141,180,1.07,2.41,NA,NA,190,136.05,14.35,12.76,13.16,13.42333333,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,1,0.2751
Control,H,1,6,LateIntermediate,167,180,0.92,4.41,NA,NA,188,88.37,14.49,11.1,11.66,12.41666667,3,yes,yes,10,13,11,11.33333333,129.0451175,1.957,1.811,1.88,1.67,1.808,1.666,1.679,1.583,1.826,17.64444444,1,0.4269
Control,H,1,1,LateIntermediate,177,179,0.9,2.68,measured directly below cotelydon,NA,187,75.55,12.07,11.51,12.1,11.89333333,3,yes,yes,9,13,9,10.33333333,117.6587836,1.615,1.496,1.669,1.5,1.445,1.715,1.645,1.677,1.453,15.79444444,1,0.1697
Control,H,2,1,Late,42,182,0.87,1.7,NA,NA,NA,NA,NA,NA,NA,NA,3,yes,yes,7,9,10,8.666666667,98.68156042,1.862,2.009,2.065,1.904,1.867,1.457,1.745,1.949,2.125,18.87,0,NA
Control,H,2,4,Late,54,183,1.29,5.29,NA,NA,194,95.15,10.63,9.15,10.57,10.11666667,3,yes,yes,8,9,11,9.333333333,106.2724497,1.625,1.685,1.891,1.489,1.518,1.617,1.694,1.515,1.545,16.19888889,1,0.5761
Control,H,2,2,Late,61,182,1.11,3.73,NA,NA,187,141.82,12.2,11.78,12.49,12.15666667,3,yes,yes,9,11,7,9,102.4770051,1.547,1.684,1.668,1.787,1.757,1.519,1.807,1.881,1.917,17.29666667,1,0.4146
Control,H,2,3,Late,147,188,0.73,4.37,NA,NA,191,90.22,10.94,12.77,12.05,11.92,3,yes,yes,16,14,18,16,182.1813423,1.152,1.152,1.288,1.371,1.443,1.308,1.355,1.48,1.338,13.20777778,0,NA
Control,H,2,6,Late,68,188,0.56,3.03,NA,NA,204,236.28,12.64,12.66,14.69,13.33,3,yes,yes,28,21,22,23.66666667,269.4765688,1.141,1.221,1.112,1.537,1.818,1.651,1.303,1.115,1.157,13.39444444,0,NA
Control,H,2,5,Late,150,183,0.64,3.58,NA,NA,200,180.61,8.69,10.88,9.03,9.533333333,3,yes,yes,15,17,20,17.33333333,197.3631208,1.131,1.223,1.301,1.45,1.529,1.398,1.389,1.021,1.142,12.87111111,0,NA
